HUC12,EventId,Cruise,Program,Project,Agency,Source,Station,SampleDate,SampleTime,TotalDepth,UpperPycnocline,LowerPycnocline,Depth,Layer,SampleType,SampleReplicateType,Parameter,Qualifier,MeasureValue,Unit,Method,Lab,Problem,PrecisionPC,BiasPC,Details,Latitude,Longitude,TierLevel,Place
20600050506,420621,BAY664,SWM,CMON,MDDNR,MDDNR,XFG2810,1/7/2016,10:00:00,3,,,2.7,BS,D,S1,TDN,,0.48,MG/L,L01 ,CBL,,,,,38.71252,-76.3168,T3,Harris Creek-Coptank River
20600050506,420637,BAY668,SWM,CMON,MDDNR,MDDNR,XFG2810,3/1/2016,10:15:00,3.3,,,3,BS,D,S1,TDN,,0.49,MG/L,L01 ,CBL,,,,,38.71252,-76.3168,T3,Harris Creek-Coptank River
20600050506,420658,BAY671,SWM,CMON,MDDNR,MDDNR,XFG2810,4/19/2016,8:45:00,3.1,,,2.8,BS,D,S1,TDN,,0.56,MG/L,L01 ,CBL,,,,,38.71252,-76.3168,T3,Harris Creek-Coptank River
20600050506,421921,BAY676,SWM,CMON,MDDNR,MDDNR,XFG2810,7/11/2016,9:30:00,3.5,,,3.2,BS,D,S1,TDN,,0.58,MG/L,L01 ,CBL,,,,,38.71252,-76.3168,T3,Harris Creek-Coptank River
20600050506,421922,BAY677,SWM,CMON,MDDNR,MDDNR,XFG2810,7/21/2016,8:15:00,3.5,,,3.2,BS,D,S1,TDN,,0.91,MG/L,L01 ,CBL,,,,,38.71252,-76.3168,T3,Harris Creek-Coptank River
20600050506,422180,BAY672,SWM,CMON,MDDNR,MDDNR,XFG2810,5/2/2016,9:00:00,3.1,,,2.8,BS,D,S1,TDN,,0.53,MG/L,L01 ,CBL,,,,,38.71252,-76.3168,T3,Harris Creek-Coptank River
20600050506,422181,BAY673,SWM,CMON,MDDNR,MDDNR,XFG2810,5/16/2016,8:45:00,2.8,,,2.5,BS,D,S1,TDN,,0.56,MG/L,L01 ,CBL,,,,,38.71252,-76.3168,T3,Harris Creek-Coptank River
20600050506,422182,BAY673,SWM,CMON,MDDNR,MDDNR,XFG2810,5/31/2016,8:15:00,3.1,,,2.8,BS,D,S1,TDN,,0.58,MG/L,L01 ,CBL,,,,,38.71252,-76.3168,T3,Harris Creek-Coptank River
20600050506,422238,BAY674,SWM,CMON,MDDNR,MDDNR,XFG2810,6/14/2016,9:45:00,3.2,,,2.9,BS,D,S1,TDN,,0.48,MG/L,L01 ,CBL,,,,,38.71252,-76.3168,T3,Harris Creek-Coptank River
20600050506,422239,BAY675,SWM,CMON,MDDNR,MDDNR,XFG2810,6/28/2016,9:45:00,3.6,,,3.3,BS,D,S1,TDN,,0.64,MG/L,L01 ,CBL,,,,,38.71252,-76.3168,T3,Harris Creek-Coptank River
20600050506,425764,BAY678,SWM,CMON,MDDNR,MDDNR,XFG2810,8/11/2016,8:45:00,3.4,,,3.1,BS,D,S1,TDN,,0.64,MG/L,L01 ,CBL,,,,,38.71252,-76.3168,T3,Harris Creek-Coptank River
20600050506,425765,BAY679,SWM,CMON,MDDNR,MDDNR,XFG2810,8/23/2016,8:00:00,4.3,,,4,BS,D,S1,TDN,,0.54,MG/L,L01 ,CBL,,,,,38.71252,-76.3168,T3,Harris Creek-Coptank River
20600050506,425808,BAY686,SWM,CMON,MDDNR,MDDNR,XFG2810,12/8/2016,9:00:00,3.8,,,3.5,BS,D,S1,TDN,,0.34,MG/L,L01 ,CBL,,,,,38.71252,-76.3168,T3,Harris Creek-Coptank River
20600050506,425823,BAY685,SWM,CMON,MDDNR,MDDNR,XFG2810,11/15/2016,10:00:00,3,,,2.7,BS,D,S1,TDN,,0.5,MG/L,L01 ,CBL,,,,,38.71252,-76.3168,T3,Harris Creek-Coptank River
